Key_col,full_nm,empl_st_nm,appt_dt,crd_num,form_u4_submit_dt,cult_mkt_2_desc,src_pref_lang_cd,rec_ind
1,"ESTES,MACK R",LOUISIANA,1998-03-15,3041121,1998-03-27,NOT FOUND,NF,Act
2,DAVIN R,HISPANIC,1998-03-16,3041122,1998-03-22,NOT FOUND,NF,Act
3,KATI E,LOUISIANA,1998-03-15,3041121,1998-03-25,NOT FOUND,NF,Act
4,DALLA S,ILLINOIS,1998-03-15,3041121,1998-03-28,NOT FOUND,NF,Act
5,MATHE W,LOUISIANA,1998-03-15,3041121,1998-03-27,NOT FOUND,NF,Act
2,DAVIN R,HISPANIC,1998-03-16,3041122,1998-03-22,NOT FOUND,NF,Rej
4,DALLA S,ILLINOIS,1998-03-15,3041121,1998-03-28,NOT FOUND,NF,Rej
3,KATI E,LOUISIANA,1998-03-15,3041121,1998-03-25,NOT FOUND,NF,Rej
1,"ESTES,MACK R",LOUISIANA,1998-03-15,3041121,1998-03-27,NOT FOUND,NF,Rej
5,MATHE W,LOUISIANA,1998-03-15,3041121,1998-03-27,NOT FOUND,NF,Rej
