Key_col,full_nm,empl_st_nm,appt_dt,crd_num,form_u4_submit_dt,cult_mkt_2_desc,src_pref_lang_cd,rec_ind
0000001,"ESTES,MACK R",LOUISIANA,1998-03-15,0003041121,1998-03-27,NOT FOUND,NF,
0000002,DAVIN R,HISPANIC,1998-03-16,0003041122,1998-03-22,NOT FOUND,NF,
0000003,KATI E,LOUISIANA,1998-03-15,0003041121,1998-03-25,NOT FOUND,NF,
0000004,DALLA S,ILLINOIS,1998-03-15,0003041121,1998-03-28,NOT FOUND,NF,
0000002,DAVIN R,HISPANIC,1998-03-16,0003041122,1998-03-22,NOT FOUND,NF,
0000004,DALLA S,ILLINOIS,1998-03-15,0003041121,1998-03-28,NOT FOUND,NF,
0000005,MATHE W,LOUISIANA,1998-03-15,0003041121,1998-03-27,NOT FOUND,NF,
0000003,KATI E,LOUISIANA,1998-03-15,0003041121,1998-03-25,NOT FOUND,NF,
0000001,"ESTES,MACK R",LOUISIANA,1998-03-15,0003041121,1998-03-27,NOT FOUND,NF,
0000005,MATHE W,LOUISIANA,1998-03-15,0003041121,1998-03-27,NOT FOUND,NF,
